valid_time,t2m,swvl1,tp,lai_hv,region_id
2018-01-31,-1.368734,0.9615584,0.19535214,-1.0697422,Adygey
2018-02-28,-1.0720805,0.98983455,-0.43571642,-1.0553982,Adygey
2018-03-31,-0.6998212,1.2737929,2.1265981,-0.9277861,Adygey
2018-04-30,-0.02827068,0.42139426,-0.8940621,-0.45846415,Adygey
2018-05-31,0.66940373,0.056150038,0.96036375,0.6574066,Adygey
2018-06-30,1.1688462,-1.2460358,-0.55365276,1.3062947,Adygey
2018-07-31,1.4849453,-1.3266985,-0.41392106,1.4510458,Adygey
2018-08-31,1.4117206,-1.8587968,-1.1325821,1.3449839,Adygey
2018-09-30,0.77691066,-0.748811,0.048390433,0.79939616,Adygey
2018-10-31,0.17481516,-0.39700225,0.8819745,-0.30137816,Adygey
2018-11-30,-0.8499851,0.38099205,0.21509038,-0.85879093,Adygey
2018-12-31,-1.1882808,1.0830494,0.666822,-1.0147507,Adygey
2019-01-31,-1.3056167,1.0242072,0.38267347,-1.0697422,Adygey
2019-02-28,-1.1230022,0.8567294,-0.5077996,-1.0553982,Adygey
2019-03-31,-0.9559278,1.1114951,1.0486084,-0.9277861,Adygey
2019-04-30,-0.2887405,0.8318682,0.18959089,-0.45846415,Adygey
2019-05-31,0.5860534,0.43640462,1.1738539,0.6574066,Adygey
2019-06-30,1.3365325,-1.1220312,-0.48259202,1.3062947,Adygey
2019-07-31,1.0833786,-0.4391665,1.3743482,1.4510458,Adygey
2019-08-31,1.2714369,-1.2194636,-0.47749576,1.3449839,Adygey
2019-09-30,0.62162894,-1.1295788,-0.17143011,0.79939616,Adygey
2019-10-31,0.1598757,-0.09845782,-0.15880041,-0.30137816,Adygey
2019-11-30,-0.57538545,-0.50176847,-1.3462675,-0.85879093,Adygey
2019-12-31,-1.1047107,0.616275,-0.52790755,-1.0147507,Adygey
2020-01-31,-1.3627442,0.73767924,0.41835645,-1.0697422,Adygey
2020-02-29,-1.2719096,0.96862173,0.88815665,-1.0544747,Adygey
2020-03-31,-0.519683,0.45077568,-0.90637624,-0.927363,Adygey
2020-04-30,-0.3726403,-0.35823366,-1.2339522,-0.45846415,Adygey
2020-05-31,0.36100894,-0.44107482,1.1034776,0.6574066,Adygey
2020-06-30,1.0400548,-0.04164691,1.3693131,1.3062947,Adygey
2020-07-31,1.4427719,-1.1111709,0.34567183,1.4510458,Adygey
2020-08-31,1.2164929,-1.4939177,-1.018631,1.3449839,Adygey
2020-09-30,1.0718497,-1.7886486,-1.0787464,0.79939616,Adygey
2020-10-31,0.46805432,-1.5078205,-1.0021294,-0.30137816,Adygey
